id,titulo,tipo_documento,profissional,uso_clinico,contexto,arquivo,observacoes
modelo_001,Formulario laudo medico padrao,laudo_medico,psiquiatra,solicitacao judicial de cuidado ou medicamento,sus,ANEXO_5_-_Formulário_Laudo_Médico_Padrão.pdf,modelo base para estrutura de laudo medico
modelo_002,Cartilha de documentos psicologicos,manual_orientativo,psicologo,orientacao tecnica para documentos psicologicos,cfp,Cartilha-Elaboracao-de-Documentos-Psicologicos-1.pdf,referencia para laudo parecer relatorio atestado e declaracao
modelo_003,Exemplo Daniel Palhares,exemplo_preenchido,clinico,exemplo de documento preenchido,clinico,DANIEL-PALHARES.pdf,usar apenas como referencia de estrutura
modelo_004,Laudo psicologico modelo,laudo_psicologico,psicologo,avaliacao psicologica e contexto pericial,clinico_juridico,Laudo Modelo.pdf,modelo geral de laudo psicologico
modelo_005,Manual orientativo,manual_orientativo,clinico,orientacao documental e legal,clinico_juridico,Manual_Orientativo.pdf,manual para criterios de emissao documental
modelo_006,Relatorio medico judicializacao acesso saude,relatorio_judicial,psiquiatra,judicializacao de acesso a saude,sus,RELATORIO MEDICO PARA JUDICIALIZACAO DO ACESSO A SAUDE.pdf,estrutura para demonstrar necessidade terapeutica
modelo_007,Relatorio medico judicializacao acesso saude duplicado,relatorio_judicial,psiquiatra,judicializacao de acesso a saude,sus,RELATORIO MEDICO PARA JUDICIALIZACAO DO ACESSO A SAUDE (1).pdf,copia alternativa do modelo de judicializacao
modelo_008,Relatorio judicial cirurgia insumos e aparelhos,relatorio_judicial,medico,solicitacao judicial de procedimento ou insumo,sus,relatorio_para_solicitacao_judicial_cirurgia_e_insumos_aparelhos_para_controle_de_diabetes_auditivos_etc_0.pdf,modelo adaptavel para necessidades de saude nao farmacologicas
modelo_009,Relatorio doencas psiquiatricas,relatorio_medico,psiquiatra,documentacao de transtornos psiquiatricos,clinico_juridico,relatorio-doencas-psiquiatricas.pdf,modelo focado em quadros psiquiatricos
modelo_010,Judicializacao medicamentos disponibilizados no SUS,relatorio_judicial,psiquiatra,medicamento ja disponibilizado no SUS,sus,relatorio-medico-para-judicializacao-medicamentos-disponibilizado-no-sus.pdf,usar quando medicamento existe no SUS mas houve barreira de acesso
modelo_011,Judicializacao medicamentos nao listados no SUS,relatorio_judicial,psiquiatra,medicamento nao listado no SUS,sus,relatorio-medico-para-judicializacao-medicamentos-nao-listados-no-sus.pdf,usar para justificar necessidade de medicacao fora da lista padronizada
modelo_012,Judicializacao saude suplementar,relatorio_judicial,medico,solicitacao em saude suplementar,saude_suplementar,RELATÓRIO-MÉDICO-PARA-JUDICIALIZAÇÃO-SAÚDE-SUPLEMENTAR-FINALIZADOFORMATAR-1.pdf,modelo voltado a planos de saude e cobertura suplementar
modelo_013,Requisitos laudo medico medicamento,checklist_tecnico,psiquiatra,criterios minimos para laudo de medicamento,sus,saude-requisitos_laudo_medico-medicamento.pdf,checklist para evitar laudo incompleto
modelo_014,Modelo de encaminhamento para psiquiatria,encaminhamento,psicologo,encaminhamento de psicologo para psiquiatra,interdisciplinar,toaz.info-modelo-de-encaminhamento-para-psiquiatria-pr_061e1d594054667dbfc52fdabcda262b.pdf,base para relatorio de encaminhamento psiquiatrico
