psicopatologia,categoria,sintomas_centrais,sintomas_associados,curso,diagnosticos_diferenciais,abordagens_terapeuticas_indicadas,abordagens_farmacologicas_comuns,escalas_uteis,observacoes_clinicas
anorexia_nervosa,alimentares,restricao energetica; medo de ganhar peso; distorcao corporal,amenorreia historicamente; bradicardia; compulsividade,potencialmente grave e cronico,depressao; toc; dismorfia corporal,tcc-e; terapia familiar para adolescentes; suporte nutricional,olanzapina em casos selecionados,eating disorder examination questionnaire,risco medico pode ser prioridade acima da psicoterapia
bulimia_nervosa,alimentares,compulsao alimentar com compensacoes,culpa; vergonha; oscilacao ponderal,cronico flutuante,anorexia; compulsao alimentar; borderline,tcc-e; terapia interpessoal,isrs especialmente fluoxetina,ede-q; bdi,avaliar eletrolitos e risco clinico
ciclotimia,humor,instabilidade cronica do humor; oscilacoes subclinicas,irritabilidade; impulsividade; sensibilidade interpessoal,cronico,transtorno borderline; tdah; bipolar tipo 2,psicoeducacao; tcc; terapia do esquema,estabilizadores de humor em casos selecionados,hcl32,importante diferenciar de reatividade interpessoal e tracos de personalidade
esquizofrenia,psicoticos,delirios; alucinacoes; desorganizacao,alogia; avolicao; prejuizo cognitivo; retraimento social,cronico em surtos e remissoes,transtorno esquizoafetivo; uso de substancias; transtorno bipolar com psicose,psicoeducacao; tcc para psicose; reabilitacao psicossocial; intervencao familiar,antipsicoticos,panss; bprs,avaliar adesao risco sintomas negativos e funcionalidade
fobia_especifica,ansiedade,medo intenso de objeto ou situacao especifica,evitacao imediata; resposta autonomica,persistente,toc; ptsd; panico,tcc com exposicao,geralmente sem farmacoterapia de rotina,fear survey schedules,responde muito bem a exposicao bem planejada
insonia,sono,dificuldade para iniciar ou manter sono,fadiga; irritabilidade; prejuizo cognitivo,cronico ou agudo,apneia; ansiedade; depressao; uso de estimulantes,tcc-i; higiene do sono; act adaptada,hipnoticos em curto prazo; melatonina em casos selecionados,isi,tcc-i e primeira linha na maioria dos casos
psicopatologia,categoria,sintomas_centrais,sintomas_associados,curso_padrao,diagnosticos_diferenciais,abordagens_terapeuticas_indicadas,abordagens_farmacologicas_comuns,escalas_uteis,observacoes_clinicas
tdah_adulto,neurodesenvolvimento,desatencao; impulsividade; desorganizacao,procrastinacao; labilidade emocional; baixo rendimento,cronico,ansiedade; bipolaridade; uso de substancias; borderline,tcc para tdah; coaching estruturado; psicoeducacao,estimulantes; atomoxetina; bupropiona,asrs1,avaliar historia desde infancia e prejuizo em multiplos contextos
transtorno_bipolar_tipo_1,humor,episodios maniacos; expansividade; reducao da necessidade de sono,grandiosidade; impulsividade; psicose; depressao maior,episodico com alto risco de recorrencia,uso de substancias; tdah; transtorno esquizoafetivo,psicoeducacao; tcc para bipolar; terapia interpessoal e do ritmo social; terapia familiar,litio; valproato; antipsicoticos atipicos,ymrs; mdq,evitar antidepressivo isolado se houver suspeita bipolar
